[2020-10-28T10:51:02.884+0800][0.016s][16528][7964][info][gc,heap] Heap region size: 2M
[2020-10-28T10:51:04.114+0800][1.247s][16528][11296][info][gc,heap      ] GC(4) Eden regions: 89->0(89)
[2020-10-28T10:51:04.114+0800][1.247s][16528][11296][info][gc,heap      ] GC(4) Survivor regions: 13->13(13)
[2020-10-28T10:51:04.114+0800][1.247s][16528][11296][info][gc,heap      ] GC(4) Old regions: 127->165
[2020-10-28T10:51:04.114+0800][1.247s][16528][11296][info][gc,heap      ] GC(4) Humongous regions: 0->0
[2020-10-28T10:51:04.114+0800][1.247s][16528][11296][info][gc,metaspace ] GC(4) Metaspace: 16341K->16341K(1064960K)
[2020-10-28T10:51:04.114+0800][1.247s][16528][11296][info][gc           ] GC(4) Pause Young (Normal) (G1 Evacuation Pause) 456M->355M(4096M) 23.564ms
[2020-10-28T10:51:04.115+0800][1.247s][16528][11296][info][gc,cpu       ] GC(4) User=0.17s Sys=0.08s Real=0.02s
[2020-10-28T10:51:04.145+0800][1.278s][16528][11296][info][gc,start     ] GC(5) Pause Young (Normal) (G1 Evacuation Pause)
[2020-10-28T10:51:04.145+0800][1.278s][16528][11296][info][gc,task      ] GC(5) Using 8 workers of 8 for evacuation
[2020-10-28T10:51:04.169+0800][1.302s][16528][11296][info][gc,phases    ] GC(5)   Pre Evacuate Collection Set: 0.1ms
[2020-10-28T10:51:04.169+0800][1.302s][16528][11296][info][gc,phases    ] GC(5)   Evacuate Collection Set: 23.1ms
[2020-10-28T10:51:04.169+0800][1.302s][16528][11296][info][gc,phases    ] GC(5)   Post Evacuate Collection Set: 0.5ms
[2020-10-28T10:51:04.169+0800][1.302s][16528][11296][info][gc,phases    ] GC(5)   Other: 0.3ms
[2020-10-28T10:51:04.169+0800][1.302s][16528][11296][info][gc,heap      ] GC(5) Eden regions: 89->0(89)
[2020-10-28T10:51:04.169+0800][1.302s][16528][11296][info][gc,heap      ] GC(5) Survivor regions: 13->13(13)
[2020-10-28T10:51:04.170+0800][1.302s][16528][11296][info][gc,heap      ] GC(5) Old regions: 165->199
[2020-10-28T10:51:04.170+0800][1.302s][16528][11296][info][gc,heap      ] GC(5) Humongous regions: 0->0
[2020-10-28T10:51:04.170+0800][1.302s][16528][11296][info][gc,metaspace ] GC(5) Metaspace: 16341K->16341K(1064960K)
[2020-10-28T10:51:04.170+0800][1.302s][16528][11296][info][gc           ] GC(5) Pause Young (Normal) (G1 Evacuation Pause) 533M->422M(4096M) 24.201ms
[2020-10-28T10:51:04.170+0800][1.303s][16528][11296][info][gc,cpu       ] GC(5) User=0.05s Sys=0.08s Real=0.03s
[2020-10-28T10:51:04.202+0800][1.335s][16528][11296][info][gc,start     ] GC(6) Pause Young (Normal) (G1 Evacuation Pause)
[2020-10-28T10:51:04.202+0800][1.335s][16528][11296][info][gc,task      ] GC(6) Using 8 workers of 8 for evacuation
[2020-10-28T10:51:04.221+0800][1.354s][16528][11296][info][gc,phases    ] GC(6)   Pre Evacuate Collection Set: 0.1ms
[2020-10-28T10:51:04.221+0800][1.354s][16528][11296][info][gc,phases    ] GC(6)   Evacuate Collection Set: 17.8ms
[2020-10-28T10:51:04.221+0800][1.354s][16528][11296][info][gc,phases    ] GC(6)   Post Evacuate Collection Set: 0.8ms
[2020-10-28T10:51:04.221+0800][1.354s][16528][11296][info][gc,phases    ] GC(6)   Other: 0.3ms
[2020-10-28T10:51:04.222+0800][1.354s][16528][11296][info][gc,heap      ] GC(6) Eden regions: 89->0(89)
[2020-10-28T10:51:04.222+0800][1.354s][16528][11296][info][gc,heap      ] GC(6) Survivor regions: 13->13(13)
[2020-10-28T10:51:04.222+0800][1.354s][16528][11296][info][gc,heap      ] GC(6) Old regions: 199->230
[2020-10-28T10:51:04.222+0800][1.354s][16528][11296][info][gc,heap      ] GC(6) Humongous regions: 0->0
[2020-10-28T10:51:04.222+0800][1.354s][16528][11296][info][gc,metaspace ] GC(6) Metaspace: 16341K->16341K(1064960K)
[2020-10-28T10:51:04.222+0800][1.355s][16528][11296][info][gc           ] GC(6) Pause Young (Normal) (G1 Evacuation Pause) 600M->485M(4096M) 19.828ms
[2020-10-28T10:51:04.223+0800][1.355s][16528][11296][info][gc,cpu       ] GC(6) User=0.11s Sys=0.09s Real=0.02s
[2020-10-28T10:51:04.255+0800][1.387s][16528][11296][info][gc,start     ] GC(7) Pause Young (Normal) (G1 Evacuation Pause)
[2020-10-28T10:51:04.255+0800][1.388s][16528][11296][info][gc,task      ] GC(7) Using 8 workers of 8 for evacuation
[2020-10-28T10:51:04.276+0800][1.409s][16528][11296][info][gc,phases    ] GC(7)   Pre Evacuate Collection Set: 0.1ms
[2020-10-28T10:51:04.276+0800][1.409s][16528][11296][info][gc,phases    ] GC(7)   Evacuate Collection Set: 20.6ms
[2020-10-28T10:51:04.276+0800][1.409s][16528][11296][info][gc,phases    ] GC(7)   Post Evacuate Collection Set: 0.5ms
[2020-10-28T10:51:04.276+0800][1.409s][16528][11296][info][gc,phases    ] GC(7)   Other: 0.4ms
[2020-10-28T10:51:04.276+0800][1.409s][16528][11296][info][gc,heap      ] GC(7) Eden regions: 89->0(107)
[2020-10-28T10:51:04.276+0800][1.409s][16528][11296][info][gc,heap      ] GC(7) Survivor regions: 13->13(13)
[2020-10-28T10:51:04.276+0800][1.409s][16528][11296][info][gc,heap      ] GC(7) Old regions: 230->263
[2020-10-28T10:51:04.277+0800][1.409s][16528][11296][info][gc,heap      ] GC(7) Humongous regions: 0->0
[2020-10-28T10:51:04.277+0800][1.409s][16528][11296][info][gc,metaspace ] GC(7) Metaspace: 16341K->16341K(1064960K)
[2020-10-28T10:51:04.277+0800][1.409s][16528][11296][info][gc           ] GC(7) Pause Young (Normal) (G1 Evacuation Pause) 663M->550M(4096M) 21.831ms
[2020-10-28T10:51:04.277+0800][1.410s][16528][11296][info][gc,cpu       ] GC(7) User=0.08s Sys=0.05s Real=0.02s
[2020-10-28T10:51:04.322+0800][1.455s][16528][11296][info][gc,start     ] GC(8) Pause Young (Normal) (G1 Evacuation Pause)
[2020-10-28T10:51:04.322+0800][1.455s][16528][11296][info][gc,task      ] GC(8) Using 8 workers of 8 for evacuation
[2020-10-28T10:51:04.344+0800][1.477s][16528][11296][info][gc,phases    ] GC(8)   Pre Evacuate Collection Set: 0.1ms
[2020-10-28T10:51:04.344+0800][1.477s][16528][11296][info][gc,phases    ] GC(8)   Evacuate Collection Set: 21.2ms
[2020-10-28T10:51:04.344+0800][1.477s][16528][11296][info][gc,phases    ] GC(8)   Post Evacuate Collection Set: 0.6ms
[2020-10-28T10:51:04.344+0800][1.477s][16528][11296][info][gc,phases    ] GC(8)   Other: 0.3ms
[2020-10-28T10:51:04.344+0800][1.477s][16528][11296][info][gc,heap      ] GC(8) Eden regions: 107->0(120)
[2020-10-28T10:51:04.344+0800][1.477s][16528][11296][info][gc,heap      ] GC(8) Survivor regions: 13->15(15)
[2020-10-28T10:51:04.344+0800][1.477s][16528][11296][info][gc,heap      ] GC(8) Old regions: 263->301
[2020-10-28T10:51:04.344+0800][1.477s][16528][11296][info][gc,heap      ] GC(8) Humongous regions: 0->0
[2020-10-28T10:51:04.344+0800][1.477s][16528][11296][info][gc,metaspace ] GC(8) Metaspace: 16341K->16341K(1064960K)
[2020-10-28T10:51:04.344+0800][1.477s][16528][11296][info][gc           ] GC(8) Pause Young (Normal) (G1 Evacuation Pause) 764M->631M(4096M) 22.350ms
[2020-10-28T10:51:04.345+0800][1.477s][16528][11296][info][gc,cpu       ] GC(8) User=0.08s Sys=0.06s Real=0.02s
[2020-10-28T10:51:04.386+0800][1.518s][16528][11296][info][gc,start     ] GC(9) Pause Young (Normal) (G1 Evacuation Pause)
[2020-10-28T10:51:04.386+0800][1.518s][16528][11296][info][gc,task      ] GC(9) Using 8 workers of 8 for evacuation
[2020-10-28T10:51:04.413+0800][1.545s][16528][11296][info][gc,phases    ] GC(9)   Pre Evacuate Collection Set: 0.1ms
[2020-10-28T10:51:04.413+0800][1.546s][16528][11296][info][gc,phases    ] GC(9)   Evacuate Collection Set: 26.2ms
[2020-10-28T10:51:04.413+0800][1.546s][16528][11296][info][gc,phases    ] GC(9)   Post Evacuate Collection Set: 0.7ms
[2020-10-28T10:51:04.413+0800][1.546s][16528][11296][info][gc,phases    ] GC(9)   Other: 0.3ms
[2020-10-28T10:51:04.413+0800][1.546s][16528][11296][info][gc,heap      ] GC(9) Eden regions: 120->0(139)
[2020-10-28T10:51:04.413+0800][1.546s][16528][11296][info][gc,heap      ] GC(9) Survivor regions: 15->17(17)
[2020-10-28T10:51:04.413+0800][1.546s][16528][11296][info][gc,heap      ] GC(9) Old regions: 301->345
[2020-10-28T10:51:04.413+0800][1.546s][16528][11296][info][gc,heap      ] GC(9) Humongous regions: 0->0
[2020-10-28T10:51:04.413+0800][1.546s][16528][11296][info][gc,metaspace ] GC(9) Metaspace: 16341K->16341K(1064960K)
[2020-10-28T10:51:04.413+0800][1.546s][16528][11296][info][gc           ] GC(9) Pause Young (Normal) (G1 Evacuation Pause) 870M->723M(4096M) 27.559ms
[2020-10-28T10:51:04.414+0800][1.547s][16528][11296][info][gc,cpu       ] GC(9) User=0.08s Sys=0.17s Real=0.03s
[2020-10-28T10:51:04.494+0800][1.627s][16528][11296][info][gc,start     ] GC(10) Pause Young (Normal) (G1 Evacuation Pause)
[2020-10-28T10:51:04.494+0800][1.627s][16528][11296][info][gc,task      ] GC(10) Using 8 workers of 8 for evacuation
[2020-10-28T10:51:04.524+0800][1.656s][16528][11296][info][gc,phases    ] GC(10)   Pre Evacuate Collection Set: 0.1ms
[2020-10-28T10:51:04.524+0800][1.656s][16528][11296][info][gc,phases    ] GC(10)   Evacuate Collection Set: 28.5ms
[2020-10-28T10:51:04.524+0800][1.656s][16528][11296][info][gc,phases    ] GC(10)   Post Evacuate Collection Set: 0.8ms
[2020-10-28T10:51:04.524+0800][1.657s][16528][11296][info][gc,phases    ] GC(10)   Other: 0.3ms
[2020-10-28T10:51:04.524+0800][1.657s][16528][11296][info][gc,heap      ] GC(10) Eden regions: 139->0(166)
[2020-10-28T10:51:04.524+0800][1.657s][16528][11296][info][gc,heap      ] GC(10) Survivor regions: 17->20(20)
[2020-10-28T10:51:04.524+0800][1.657s][16528][11296][info][gc,heap      ] GC(10) Old regions: 345->388
[2020-10-28T10:51:04.524+0800][1.657s][16528][11296][info][gc,heap      ] GC(10) Humongous regions: 0->0
[2020-10-28T10:51:04.524+0800][1.657s][16528][11296][info][gc,metaspace ] GC(10) Metaspace: 16341K->16341K(1064960K)
[2020-10-28T10:51:04.524+0800][1.657s][16528][11296][info][gc           ] GC(10) Pause Young (Normal) (G1 Evacuation Pause) 1001M->815M(4096M) 30.164ms
[2020-10-28T10:51:04.525+0800][1.657s][16528][11296][info][gc,cpu       ] GC(10) User=0.06s Sys=0.19s Real=0.03s
[2020-10-28T10:51:04.601+0800][1.733s][16528][11296][info][gc,start     ] GC(11) Pause Young (Normal) (G1 Evacuation Pause)
[2020-10-28T10:51:04.601+0800][1.733s][16528][11296][info][gc,task      ] GC(11) Using 8 workers of 8 for evacuation
[2020-10-28T10:51:04.642+0800][1.774s][16528][11296][info][gc,phases    ] GC(11)   Pre Evacuate Collection Set: 0.0ms
[2020-10-28T10:51:04.642+0800][1.774s][16528][11296][info][gc,phases    ] GC(11)   Evacuate Collection Set: 39.9ms
[2020-10-28T10:51:04.642+0800][1.774s][16528][11296][info][gc,phases    ] GC(11)   Post Evacuate Collection Set: 0.7ms
[2020-10-28T10:51:04.642+0800][1.774s][16528][11296][info][gc,phases    ] GC(11)   Other: 0.3ms
[2020-10-28T10:51:04.642+0800][1.774s][16528][11296][info][gc,heap      ] GC(11) Eden regions: 166->0(246)
[2020-10-28T10:51:04.642+0800][1.774s][16528][11296][info][gc,heap      ] GC(11) Survivor regions: 20->24(24)
[2020-10-28T10:51:04.642+0800][1.774s][16528][11296][info][gc,heap      ] GC(11) Old regions: 388->436
[2020-10-28T10:51:04.642+0800][1.774s][16528][11296][info][gc,heap      ] GC(11) Humongous regions: 0->0
[2020-10-28T10:51:04.642+0800][1.774s][16528][11296][info][gc,metaspace ] GC(11) Metaspace: 16341K->16341K(1064960K)
[2020-10-28T10:51:04.642+0800][1.774s][16528][11296][info][gc           ] GC(11) Pause Young (Normal) (G1 Evacuation Pause) 1147M->918M(4096M) 41.258ms
[2020-10-28T10:51:04.642+0800][1.775s][16528][11296][info][gc,cpu       ] GC(11) User=0.13s Sys=0.17s Real=0.04s
[2020-10-28T10:51:04.765+0800][1.897s][16528][7964 ][info][gc,heap,exit ] Heap
[2020-10-28T10:51:04.765+0800][1.898s][16528][7964 ][info][gc,heap,exit ]  garbage-first heap   total 4194304K, used 1401110K [0x0000000700000000, 0x0000000800000000)
[2020-10-28T10:51:04.766+0800][1.899s][16528][7964 ][info][gc,heap,exit ]   region size 2048K, 251 young (514048K), 24 survivors (49152K)
[2020-10-28T10:51:04.766+0800][1.899s][16528][7964 ][info][gc,heap,exit ]  Metaspace       used 16549K, capacity 16956K, committed 17024K, reserved 1064960K
[2020-10-28T10:51:04.767+0800][1.899s][16528][7964 ][info][gc,heap,exit ]   class space    used 1748K, capacity 1890K, committed 1920K, reserved 1048576K
