[2020-10-28T10:50:17.874+0800][0.017s][1964][3712][info][gc,heap] Heap region size: 1M
[2020-10-28T10:50:18.840+0800][0.983s][1964][9088][info][gc,heap      ] GC(1) Eden regions: 89->0(89)
[2020-10-28T10:50:18.840+0800][0.983s][1964][9088][info][gc,heap      ] GC(1) Survivor regions: 13->13(13)
[2020-10-28T10:50:18.840+0800][0.983s][1964][9088][info][gc,heap      ] GC(1) Old regions: 20->53
[2020-10-28T10:50:18.840+0800][0.983s][1964][9088][info][gc,heap      ] GC(1) Humongous regions: 66->42
[2020-10-28T10:50:18.840+0800][0.983s][1964][9088][info][gc,metaspace ] GC(1) Metaspace: 16371K->16371K(1064960K)
[2020-10-28T10:50:18.840+0800][0.983s][1964][9088][info][gc           ] GC(1) Pause Young (Normal) (G1 Evacuation Pause) 187M->107M(2048M) 13.263ms
[2020-10-28T10:50:18.840+0800][0.983s][1964][9088][info][gc,cpu       ] GC(1) User=0.11s Sys=0.00s Real=0.01s
[2020-10-28T10:50:18.869+0800][1.012s][1964][9088][info][gc,start     ] GC(2) Pause Young (Normal) (G1 Evacuation Pause)
[2020-10-28T10:50:18.869+0800][1.012s][1964][9088][info][gc,task      ] GC(2) Using 8 workers of 8 for evacuation
[2020-10-28T10:50:18.882+0800][1.025s][1964][9088][info][gc,phases    ] GC(2)   Pre Evacuate Collection Set: 0.1ms
[2020-10-28T10:50:18.882+0800][1.025s][1964][9088][info][gc,phases    ] GC(2)   Evacuate Collection Set: 12.7ms
[2020-10-28T10:50:18.882+0800][1.025s][1964][9088][info][gc,phases    ] GC(2)   Post Evacuate Collection Set: 0.5ms
[2020-10-28T10:50:18.882+0800][1.025s][1964][9088][info][gc,phases    ] GC(2)   Other: 0.2ms
[2020-10-28T10:50:18.882+0800][1.025s][1964][9088][info][gc,heap      ] GC(2) Eden regions: 89->0(89)
[2020-10-28T10:50:18.882+0800][1.025s][1964][9088][info][gc,heap      ] GC(2) Survivor regions: 13->13(13)
[2020-10-28T10:50:18.883+0800][1.026s][1964][9088][info][gc,heap      ] GC(2) Old regions: 53->89
[2020-10-28T10:50:18.883+0800][1.026s][1964][9088][info][gc,heap      ] GC(2) Humongous regions: 92->57
[2020-10-28T10:50:18.883+0800][1.026s][1964][9088][info][gc,metaspace ] GC(2) Metaspace: 16371K->16371K(1064960K)
[2020-10-28T10:50:18.883+0800][1.026s][1964][9088][info][gc           ] GC(2) Pause Young (Normal) (G1 Evacuation Pause) 245M->158M(2048M) 13.929ms
[2020-10-28T10:50:18.883+0800][1.026s][1964][9088][info][gc,cpu       ] GC(2) User=0.08s Sys=0.05s Real=0.01s
[2020-10-28T10:50:18.910+0800][1.053s][1964][9088][info][gc,start     ] GC(3) Pause Young (Normal) (G1 Evacuation Pause)
[2020-10-28T10:50:18.910+0800][1.053s][1964][9088][info][gc,task      ] GC(3) Using 8 workers of 8 for evacuation
[2020-10-28T10:50:18.921+0800][1.064s][1964][9088][info][gc,phases    ] GC(3)   Pre Evacuate Collection Set: 0.1ms
[2020-10-28T10:50:18.921+0800][1.064s][1964][9088][info][gc,phases    ] GC(3)   Evacuate Collection Set: 9.5ms
[2020-10-28T10:50:18.921+0800][1.064s][1964][9088][info][gc,phases    ] GC(3)   Post Evacuate Collection Set: 1.3ms
[2020-10-28T10:50:18.921+0800][1.064s][1964][9088][info][gc,phases    ] GC(3)   Other: 0.3ms
[2020-10-28T10:50:18.921+0800][1.064s][1964][9088][info][gc,heap      ] GC(3) Eden regions: 89->0(89)
[2020-10-28T10:50:18.921+0800][1.064s][1964][9088][info][gc,heap      ] GC(3) Survivor regions: 13->13(13)
[2020-10-28T10:50:18.921+0800][1.064s][1964][9088][info][gc,heap      ] GC(3) Old regions: 89->124
[2020-10-28T10:50:18.921+0800][1.065s][1964][9088][info][gc,heap      ] GC(3) Humongous regions: 106->66
[2020-10-28T10:50:18.922+0800][1.065s][1964][9088][info][gc,metaspace ] GC(3) Metaspace: 16371K->16371K(1064960K)
[2020-10-28T10:50:18.922+0800][1.065s][1964][9088][info][gc           ] GC(3) Pause Young (Normal) (G1 Evacuation Pause) 296M->202M(2048M) 11.991ms
[2020-10-28T10:50:18.922+0800][1.065s][1964][9088][info][gc,cpu       ] GC(3) User=0.00s Sys=0.02s Real=0.01s
[2020-10-28T10:50:18.951+0800][1.094s][1964][9088][info][gc,start     ] GC(4) Pause Young (Normal) (G1 Evacuation Pause)
[2020-10-28T10:50:18.951+0800][1.094s][1964][9088][info][gc,task      ] GC(4) Using 8 workers of 8 for evacuation
[2020-10-28T10:50:18.963+0800][1.106s][1964][9088][info][gc,phases    ] GC(4)   Pre Evacuate Collection Set: 0.1ms
[2020-10-28T10:50:18.963+0800][1.106s][1964][9088][info][gc,phases    ] GC(4)   Evacuate Collection Set: 10.4ms
[2020-10-28T10:50:18.963+0800][1.106s][1964][9088][info][gc,phases    ] GC(4)   Post Evacuate Collection Set: 1.0ms
[2020-10-28T10:50:18.963+0800][1.106s][1964][9088][info][gc,phases    ] GC(4)   Other: 0.3ms
[2020-10-28T10:50:18.963+0800][1.106s][1964][9088][info][gc,heap      ] GC(4) Eden regions: 89->0(92)
[2020-10-28T10:50:18.963+0800][1.106s][1964][9088][info][gc,heap      ] GC(4) Survivor regions: 13->13(13)
[2020-10-28T10:50:18.963+0800][1.106s][1964][9088][info][gc,heap      ] GC(4) Old regions: 124->158
[2020-10-28T10:50:18.963+0800][1.106s][1964][9088][info][gc,heap      ] GC(4) Humongous regions: 118->81
[2020-10-28T10:50:18.963+0800][1.106s][1964][9088][info][gc,metaspace ] GC(4) Metaspace: 16371K->16371K(1064960K)
[2020-10-28T10:50:18.963+0800][1.106s][1964][9088][info][gc           ] GC(4) Pause Young (Normal) (G1 Evacuation Pause) 343M->251M(2048M) 12.320ms
[2020-10-28T10:50:18.964+0800][1.107s][1964][9088][info][gc,cpu       ] GC(4) User=0.08s Sys=0.00s Real=0.01s
[2020-10-28T10:50:18.996+0800][1.139s][1964][9088][info][gc,start     ] GC(5) Pause Young (Normal) (G1 Evacuation Pause)
[2020-10-28T10:50:18.996+0800][1.139s][1964][9088][info][gc,task      ] GC(5) Using 8 workers of 8 for evacuation
[2020-10-28T10:50:19.009+0800][1.152s][1964][9088][info][gc,phases    ] GC(5)   Pre Evacuate Collection Set: 0.1ms
[2020-10-28T10:50:19.009+0800][1.152s][1964][9088][info][gc,phases    ] GC(5)   Evacuate Collection Set: 11.8ms
[2020-10-28T10:50:19.009+0800][1.152s][1964][9088][info][gc,phases    ] GC(5)   Post Evacuate Collection Set: 0.9ms
[2020-10-28T10:50:19.009+0800][1.153s][1964][9088][info][gc,phases    ] GC(5)   Other: 0.3ms
[2020-10-28T10:50:19.009+0800][1.153s][1964][9088][info][gc,heap      ] GC(5) Eden regions: 92->0(106)
[2020-10-28T10:50:19.010+0800][1.153s][1964][9088][info][gc,heap      ] GC(5) Survivor regions: 13->14(14)
[2020-10-28T10:50:19.010+0800][1.153s][1964][9088][info][gc,heap      ] GC(5) Old regions: 158->196
[2020-10-28T10:50:19.010+0800][1.153s][1964][9088][info][gc,heap      ] GC(5) Humongous regions: 130->93
[2020-10-28T10:50:19.010+0800][1.153s][1964][9088][info][gc,metaspace ] GC(5) Metaspace: 16371K->16371K(1064960K)
[2020-10-28T10:50:19.010+0800][1.153s][1964][9088][info][gc           ] GC(5) Pause Young (Normal) (G1 Evacuation Pause) 392M->302M(2048M) 13.887ms
[2020-10-28T10:50:19.010+0800][1.153s][1964][9088][info][gc,cpu       ] GC(5) User=0.03s Sys=0.09s Real=0.01s
[2020-10-28T10:50:19.048+0800][1.191s][1964][9088][info][gc,start     ] GC(6) Pause Young (Normal) (G1 Evacuation Pause)
[2020-10-28T10:50:19.048+0800][1.191s][1964][9088][info][gc,task      ] GC(6) Using 8 workers of 8 for evacuation
[2020-10-28T10:50:19.062+0800][1.205s][1964][9088][info][gc,phases    ] GC(6)   Pre Evacuate Collection Set: 0.1ms
[2020-10-28T10:50:19.062+0800][1.205s][1964][9088][info][gc,phases    ] GC(6)   Evacuate Collection Set: 12.8ms
[2020-10-28T10:50:19.062+0800][1.205s][1964][9088][info][gc,phases    ] GC(6)   Post Evacuate Collection Set: 0.7ms
[2020-10-28T10:50:19.062+0800][1.205s][1964][9088][info][gc,phases    ] GC(6)   Other: 0.3ms
[2020-10-28T10:50:19.062+0800][1.205s][1964][9088][info][gc,heap      ] GC(6) Eden regions: 106->0(127)
[2020-10-28T10:50:19.062+0800][1.205s][1964][9088][info][gc,heap      ] GC(6) Survivor regions: 14->15(15)
[2020-10-28T10:50:19.062+0800][1.205s][1964][9088][info][gc,heap      ] GC(6) Old regions: 196->236
[2020-10-28T10:50:19.062+0800][1.205s][1964][9088][info][gc,heap      ] GC(6) Humongous regions: 158->102
[2020-10-28T10:50:19.062+0800][1.205s][1964][9088][info][gc,metaspace ] GC(6) Metaspace: 16371K->16371K(1064960K)
[2020-10-28T10:50:19.062+0800][1.205s][1964][9088][info][gc           ] GC(6) Pause Young (Normal) (G1 Evacuation Pause) 473M->352M(2048M) 14.122ms
[2020-10-28T10:50:19.063+0800][1.206s][1964][9088][info][gc,cpu       ] GC(6) User=0.00s Sys=0.00s Real=0.01s
[2020-10-28T10:50:19.100+0800][1.243s][1964][9088][info][gc,start     ] GC(7) Pause Young (Normal) (G1 Evacuation Pause)
[2020-10-28T10:50:19.100+0800][1.243s][1964][9088][info][gc,task      ] GC(7) Using 8 workers of 8 for evacuation
[2020-10-28T10:50:19.114+0800][1.257s][1964][9088][info][gc,phases    ] GC(7)   Pre Evacuate Collection Set: 0.1ms
[2020-10-28T10:50:19.114+0800][1.257s][1964][9088][info][gc,phases    ] GC(7)   Evacuate Collection Set: 13.4ms
[2020-10-28T10:50:19.114+0800][1.257s][1964][9088][info][gc,phases    ] GC(7)   Post Evacuate Collection Set: 0.7ms
[2020-10-28T10:50:19.114+0800][1.257s][1964][9088][info][gc,phases    ] GC(7)   Other: 0.3ms
[2020-10-28T10:50:19.114+0800][1.257s][1964][9088][info][gc,heap      ] GC(7) Eden regions: 127->0(126)
[2020-10-28T10:50:19.114+0800][1.257s][1964][9088][info][gc,heap      ] GC(7) Survivor regions: 15->18(18)
[2020-10-28T10:50:19.114+0800][1.257s][1964][9088][info][gc,heap      ] GC(7) Old regions: 236->276
[2020-10-28T10:50:19.114+0800][1.257s][1964][9088][info][gc,heap      ] GC(7) Humongous regions: 163->110
[2020-10-28T10:50:19.114+0800][1.257s][1964][9088][info][gc,metaspace ] GC(7) Metaspace: 16371K->16371K(1064960K)
[2020-10-28T10:50:19.114+0800][1.257s][1964][9088][info][gc           ] GC(7) Pause Young (Normal) (G1 Evacuation Pause) 540M->403M(2048M) 14.664ms
[2020-10-28T10:50:19.115+0800][1.258s][1964][9088][info][gc,cpu       ] GC(7) User=0.06s Sys=0.06s Real=0.02s
[2020-10-28T10:50:19.163+0800][1.306s][1964][9088][info][gc,start     ] GC(8) Pause Young (Normal) (G1 Evacuation Pause)
[2020-10-28T10:50:19.163+0800][1.306s][1964][9088][info][gc,task      ] GC(8) Using 8 workers of 8 for evacuation
[2020-10-28T10:50:19.176+0800][1.319s][1964][9088][info][gc,phases    ] GC(8)   Pre Evacuate Collection Set: 0.1ms
[2020-10-28T10:50:19.176+0800][1.319s][1964][9088][info][gc,phases    ] GC(8)   Evacuate Collection Set: 11.1ms
[2020-10-28T10:50:19.176+0800][1.319s][1964][9088][info][gc,phases    ] GC(8)   Post Evacuate Collection Set: 0.9ms
[2020-10-28T10:50:19.176+0800][1.319s][1964][9088][info][gc,phases    ] GC(8)   Other: 0.4ms
[2020-10-28T10:50:19.176+0800][1.319s][1964][9088][info][gc,heap      ] GC(8) Eden regions: 126->0(149)
[2020-10-28T10:50:19.176+0800][1.319s][1964][9088][info][gc,heap      ] GC(8) Survivor regions: 18->18(18)
[2020-10-28T10:50:19.176+0800][1.319s][1964][9088][info][gc,heap      ] GC(8) Old regions: 276->316
[2020-10-28T10:50:19.176+0800][1.319s][1964][9088][info][gc,heap      ] GC(8) Humongous regions: 210->143
[2020-10-28T10:50:19.176+0800][1.319s][1964][9088][info][gc,metaspace ] GC(8) Metaspace: 16372K->16372K(1064960K)
[2020-10-28T10:50:19.176+0800][1.319s][1964][9088][info][gc           ] GC(8) Pause Young (Normal) (G1 Evacuation Pause) 629M->476M(2048M) 12.897ms
[2020-10-28T10:50:19.177+0800][1.320s][1964][9088][info][gc,cpu       ] GC(8) User=0.08s Sys=0.05s Real=0.01s
[2020-10-28T10:50:19.238+0800][1.382s][1964][9088][info][gc,start     ] GC(9) Pause Young (Normal) (G1 Evacuation Pause)
[2020-10-28T10:50:19.239+0800][1.382s][1964][9088][info][gc,task      ] GC(9) Using 8 workers of 8 for evacuation
[2020-10-28T10:50:19.253+0800][1.396s][1964][9088][info][gc,phases    ] GC(9)   Pre Evacuate Collection Set: 0.1ms
[2020-10-28T10:50:19.253+0800][1.396s][1964][9088][info][gc,phases    ] GC(9)   Evacuate Collection Set: 13.1ms
[2020-10-28T10:50:19.253+0800][1.396s][1964][9088][info][gc,phases    ] GC(9)   Post Evacuate Collection Set: 1.0ms
[2020-10-28T10:50:19.253+0800][1.396s][1964][9088][info][gc,phases    ] GC(9)   Other: 0.3ms
[2020-10-28T10:50:19.253+0800][1.396s][1964][9088][info][gc,heap      ] GC(9) Eden regions: 149->0(221)
[2020-10-28T10:50:19.253+0800][1.396s][1964][9088][info][gc,heap      ] GC(9) Survivor regions: 18->21(21)
[2020-10-28T10:50:19.253+0800][1.396s][1964][9088][info][gc,heap      ] GC(9) Old regions: 316->361
[2020-10-28T10:50:19.253+0800][1.396s][1964][9088][info][gc,heap      ] GC(9) Humongous regions: 231->152
[2020-10-28T10:50:19.253+0800][1.396s][1964][9088][info][gc,metaspace ] GC(9) Metaspace: 16372K->16372K(1064960K)
[2020-10-28T10:50:19.253+0800][1.396s][1964][9088][info][gc           ] GC(9) Pause Young (Normal) (G1 Evacuation Pause) 713M->533M(2048M) 14.820ms
[2020-10-28T10:50:19.254+0800][1.397s][1964][9088][info][gc,cpu       ] GC(9) User=0.00s Sys=0.13s Real=0.02s
[2020-10-28T10:50:19.355+0800][1.498s][1964][9088][info][gc,start     ] GC(10) Pause Young (Normal) (G1 Evacuation Pause)
[2020-10-28T10:50:19.355+0800][1.498s][1964][9088][info][gc,task      ] GC(10) Using 8 workers of 8 for evacuation
[2020-10-28T10:50:19.375+0800][1.518s][1964][9088][info][gc,phases    ] GC(10)   Pre Evacuate Collection Set: 0.1ms
[2020-10-28T10:50:19.375+0800][1.518s][1964][9088][info][gc,phases    ] GC(10)   Evacuate Collection Set: 19.0ms
[2020-10-28T10:50:19.375+0800][1.518s][1964][9088][info][gc,phases    ] GC(10)   Post Evacuate Collection Set: 0.7ms
[2020-10-28T10:50:19.375+0800][1.519s][1964][9088][info][gc,phases    ] GC(10)   Other: 0.3ms
[2020-10-28T10:50:19.375+0800][1.519s][1964][9088][info][gc,heap      ] GC(10) Eden regions: 221->0(283)
[2020-10-28T10:50:19.375+0800][1.519s][1964][9088][info][gc,heap      ] GC(10) Survivor regions: 21->31(31)
[2020-10-28T10:50:19.376+0800][1.519s][1964][9088][info][gc,heap      ] GC(10) Old regions: 361->421
[2020-10-28T10:50:19.376+0800][1.519s][1964][9088][info][gc,heap      ] GC(10) Humongous regions: 297->152
[2020-10-28T10:50:19.376+0800][1.519s][1964][9088][info][gc,metaspace ] GC(10) Metaspace: 16372K->16372K(1064960K)
[2020-10-28T10:50:19.376+0800][1.519s][1964][9088][info][gc           ] GC(10) Pause Young (Normal) (G1 Evacuation Pause) 899M->603M(2048M) 20.406ms
[2020-10-28T10:50:19.376+0800][1.519s][1964][9088][info][gc,cpu       ] GC(10) User=0.02s Sys=0.13s Real=0.02s
[2020-10-28T10:50:19.479+0800][1.623s][1964][9088][info][gc,start     ] GC(11) Pause Young (Normal) (G1 Evacuation Pause)
[2020-10-28T10:50:19.480+0800][1.623s][1964][9088][info][gc,task      ] GC(11) Using 8 workers of 8 for evacuation
[2020-10-28T10:50:19.513+0800][1.657s][1964][9088][info][gc,phases    ] GC(11)   Pre Evacuate Collection Set: 0.2ms
[2020-10-28T10:50:19.513+0800][1.657s][1964][9088][info][gc,phases    ] GC(11)   Evacuate Collection Set: 32.3ms
[2020-10-28T10:50:19.514+0800][1.657s][1964][9088][info][gc,phases    ] GC(11)   Post Evacuate Collection Set: 1.1ms
[2020-10-28T10:50:19.514+0800][1.657s][1964][9088][info][gc,phases    ] GC(11)   Other: 0.4ms
[2020-10-28T10:50:19.514+0800][1.657s][1964][9088][info][gc,heap      ] GC(11) Eden regions: 283->0(336)
[2020-10-28T10:50:19.514+0800][1.657s][1964][9088][info][gc,heap      ] GC(11) Survivor regions: 31->40(40)
[2020-10-28T10:50:19.514+0800][1.657s][1964][9088][info][gc,heap      ] GC(11) Old regions: 421->493
[2020-10-28T10:50:19.514+0800][1.657s][1964][9088][info][gc,heap      ] GC(11) Humongous regions: 308->163
[2020-10-28T10:50:19.514+0800][1.657s][1964][9088][info][gc,metaspace ] GC(11) Metaspace: 16372K->16372K(1064960K)
[2020-10-28T10:50:19.514+0800][1.657s][1964][9088][info][gc           ] GC(11) Pause Young (Normal) (G1 Evacuation Pause) 1042M->695M(2048M) 34.230ms
[2020-10-28T10:50:19.514+0800][1.657s][1964][9088][info][gc,cpu       ] GC(11) User=0.09s Sys=0.11s Real=0.03s
[2020-10-28T10:50:19.633+0800][1.776s][1964][9088][info][gc,start     ] GC(12) Pause Young (Normal) (G1 Evacuation Pause)
[2020-10-28T10:50:19.633+0800][1.776s][1964][9088][info][gc,task      ] GC(12) Using 8 workers of 8 for evacuation
[2020-10-28T10:50:19.674+0800][1.817s][1964][9088][info][gc,phases    ] GC(12)   Pre Evacuate Collection Set: 0.2ms
[2020-10-28T10:50:19.674+0800][1.817s][1964][9088][info][gc,phases    ] GC(12)   Evacuate Collection Set: 39.6ms
[2020-10-28T10:50:19.674+0800][1.817s][1964][9088][info][gc,phases    ] GC(12)   Post Evacuate Collection Set: 1.1ms
[2020-10-28T10:50:19.674+0800][1.817s][1964][9088][info][gc,phases    ] GC(12)   Other: 0.3ms
[2020-10-28T10:50:19.674+0800][1.817s][1964][9088][info][gc,heap      ] GC(12) Eden regions: 336->0(419)
[2020-10-28T10:50:19.674+0800][1.818s][1964][9088][info][gc,heap      ] GC(12) Survivor regions: 40->47(47)
[2020-10-28T10:50:19.674+0800][1.818s][1964][9088][info][gc,heap      ] GC(12) Old regions: 493->583
[2020-10-28T10:50:19.675+0800][1.818s][1964][9088][info][gc,heap      ] GC(12) Humongous regions: 345->163
[2020-10-28T10:50:19.675+0800][1.818s][1964][9088][info][gc,metaspace ] GC(12) Metaspace: 16372K->16372K(1064960K)
[2020-10-28T10:50:19.675+0800][1.818s][1964][9088][info][gc           ] GC(12) Pause Young (Normal) (G1 Evacuation Pause) 1213M->792M(2048M) 41.601ms
[2020-10-28T10:50:19.675+0800][1.818s][1964][9088][info][gc,cpu       ] GC(12) User=0.05s Sys=0.25s Real=0.04s
[2020-10-28T10:50:19.725+0800][1.868s][1964][3712][info][gc,heap,exit ] Heap
[2020-10-28T10:50:19.725+0800][1.868s][1964][3712][info][gc,heap,exit ]  garbage-first heap   total 2097152K, used 994657K [0x0000000080000000, 0x0000000100000000)
[2020-10-28T10:50:19.725+0800][1.869s][1964][3712][info][gc,heap,exit ]   region size 1024K, 165 young (168960K), 47 survivors (48128K)
[2020-10-28T10:50:19.726+0800][1.869s][1964][3712][info][gc,heap,exit ]  Metaspace       used 16580K, capacity 16955K, committed 17024K, reserved 1064960K
[2020-10-28T10:50:19.726+0800][1.869s][1964][3712][info][gc,heap,exit ]   class space    used 1746K, capacity 1890K, committed 1920K, reserved 1048576K
